alloy,Nb,Si,Ti,Al,Cr,Hf,Zr,Mo,V,W,Ta,Sn,VEC,x,Δx,ΔHmix,ΔSmix,ΔG,Tm,ΔTm,ρ,r,am,Δa,δ,Ω,Λ,mean_Molar Magnetic Susceptibility,mean_Neutron Cross Section,mean_Neutron Mass Absorption,mean_Space Group Number,mean_Speed of Sound,mean_A1 atomic number,mean_A6 atomic weight,mean_C1 temperature melting,mean_C12 modulus Young,mean_C2 temperature boiling,mean_C3 enthalpy vaporization,mean_C4 enthalpy melting,mean_C5 enthalpy atomization,mean_E13 Electron affinity,mean_E2 electronegativity (Pauling),mean_Electrophilicity Index,mean_Glawe Number,mean_Mass Magnetic Susceptibility,mean_S10 Lattice Constants a,mean_S11 Lattice Constants b,mean_S12 Lattice Constants c,mean_S13 radii atomic (coordination number 12) (pm),mean_S3 radii covalent,mean_Volume Magnetic Susceptibility,mean_共价半径 Pyykko(Double Bond) (pm),mean_共价半径 Pyykko(Single Bond) (pm),mean_共价半径 Pyykko(Triple Bond) (pm),mean_密度,mean_摩尔体积(cm3/mol),mean_摩尔热容(J/mol/k),mean_比热容J/g/k,mean_热导率W/(mk),mean_热膨胀(1/k),mean_电导率(MS/m),mean_电阻率(mΩ),mean_莫氏硬度(MPa),mean_金属半径 12 Neighbors(pm),mean_金属半径(pm),var_Molar Magnetic Susceptibility,var_Neutron Cross Section,var_Neutron Mass Absorption,var_Space Group Number,var_Speed of Sound,var_A1 atomic number,var_A6 atomic weight,var_C1 temperature melting,var_C12 modulus Young,var_C2 temperature boiling,var_C3 enthalpy vaporization,var_C4 enthalpy melting,var_C5 enthalpy atomization,var_E13 Electron affinity,var_E2 electronegativity (Pauling),var_Electrophilicity Index,var_Glawe Number,var_Mass Magnetic Susceptibility,var_S10 Lattice Constants a,var_S11 Lattice Constants b,var_S12 Lattice Constants c,var_S13 radii atomic (coordination number 12) (pm),var_S3 radii covalent,var_Volume Magnetic Susceptibility,var_共价半径 Pyykko(Double Bond) (pm),var_共价半径 Pyykko(Single Bond) (pm),var_共价半径 Pyykko(Triple Bond) (pm),var_密度,var_摩尔体积(cm3/mol),var_摩尔热容(J/mol/k),var_比热容J/g/k,var_热导率W/(mk),var_热膨胀(1/k),var_电导率(MS/m),var_电阻率(mΩ),var_莫氏硬度(MPa),var_金属半径 12 Neighbors(pm),var_金属半径(pm),KQ,
alloy1,52,20,24,2,2,0,0,0,0,0,0,0,4.54,1.647,12.934,-37.632,9.6519,-59.78948075,2295.66,772.16,6.122828,1.3782,364.977,91.0687,8.45,0.5887936,0.135175939,1.83326,2.16186,0.001946,220.12,3464,30.14,66.99594517,2295.5094,98.82,4212.56,544.146,29.203,599.2476,75.452,1.647,1.24566,59.46,24.702,365.1642,365.1642,406.797,173.08,151.08,0.000172638,118.96,137.24,110.92,6.20188,10.941594,23.7152,0.43264,69.598,0.00000694,5.0022,0.000200177,6.085,144.22,129.64,1.039221534,5.14325832,1.90389E-05,216.2656,605488,135.9604,776.2573229,249001.1593,1293.6676,727386.3264,20506.24928,128.698441,19837.2571,1864.334096,0.016729,0.072056384,176.6084,213.182596,8280.459444,8280.459444,7933.608261,1157.4336,448.1936,9.27095E-09,50.4784,147.3024,32.6336,6.868666226,0.570795597,3.93150716,0.03649959,2510.667796,9.802E-12,29.94899536,1.59929E-07,0.379025,16.5316,45.8704,11.5,"T. Fei, Y. Yu, C. Zhou, J. Sha, The deformation and fracture modes of fine and coarsened NbSS phase in a Nb-20Si-24Ti-2Al-2Cr alloy with a NbSS/Nb5Si3 microstructure, Mater. Des. 116 (2017) 92-98."
alloy2,56,16,24,2,2,0,0,0,0,0,0,0,4.58,1.635,11.88,-31.696,9.2859,-53.40810566,2338.18,763.71,6.388113,1.3892,356.455,83.6704,7.7244,0.685010906,0.155630421,1.937456,2.20122,0.001954,220.2,3515.2,31.22,69.58879997,2338.0294,101.14,4286.32,556.026,28.251,610.5676,73.552,1.635,1.22878,58.18,25.87,356.6566,356.6566,398.2894,176.56,153.2,0.000182267,119.68,138.48,111.48,6.45148,10.893074,23.90764,0.41476,65.786,0.000007128,5.27016,0.000160183,6.065,144.54,130.32,0.90839137,5.023325252,1.90125E-05,217.52,538968.96,129.0916,735.8259653,240644.3296,1182.4004,704603.3376,20064.64592,109.709849,19533.70904,1730.011696,0.014113,0.064130212,150.5476,184.4825,6990.118558,6990.118558,7351.657794,1016.0064,386.12,8.0997E-09,45.6976,131.5296,30.1696,6.43102757,0.519348288,3.30918699,0.034182342,2254.059204,9.01842E-12,28.99201373,1.34341E-07,0.372025,15.0084,39.7776,9.6,"J. Liao, T. Fei, Y. Li, Y. Yu, J. Sha, A comparison study on microstructures and fracture behaviours of a single NbSS solid solution alloy and a two-phase NbSS/Nb5Si3 alloy prepared by spark plasma sintering and arc melting, Mater. Charact. 178 (2021) 111259."
alloy3,84,16,0,0,0,0,0,0,0,0,0,0,4.84,1.648,10.998,-30.1056,3.6554,-39.53678788,2580.07,662.85,7.47943,1.3848,364.128,78.1054,7.3065,0.313270218,0.068472491,2.143216,0.99256,0.000368,228.68,3275.2,36.68,82.5349508,2579.92,95.72,4721.96,632.48,30.608,687.72,93.7,1.648,1.32852,58.12,22.928,364.4304,364.4304,364.4304,184.08,155.52,0.000198483,122.12,142.04,113.76,7.5716,11.03508,23.83024,0.33652,68.948,0.000006548,5.62816,0.000160126,6.08,144.72,131.28,0.911971739,0.130133606,5.376E-09,0.5376,220200.96,97.9776,564.7232652,151867.8336,452.1216,457005.1584,11855.2896,76.129536,10763.9616,303.24,0.012096,0.02393449,137.6256,114.594816,6079.857652,6079.857652,6079.857652,1017.2736,377.5296,7.78861E-09,43.5456,129.1584,26.3424,5.23321344,0.197751994,3.110784902,0.02685433,1220.632896,2.9689E-12,6.031415174,1.3436E-07,0.0336,8.6016,38.8416,6.8,"J. Liao, Z. Wei, F. Yu, Y. Yu, H. Peng, J. Sha, Microstructure and fracture behaviours of Nb–16Si ultra-high temperature alloy fabricated by laser directed energy deposition, Intermetallics 157 (2023) 107874"
alloy4,75,0,0,0,0,10,0,0,0,15,0,0,5.05,1.684,29.763,-2.76,6.0741,-20.17140765,2866.5,629.34,10.556,1.4346,326.972,5.3686,3.6656,6.308481033,0.452055538,2.1412,14.0225,0.00284,225.5,3687.1,49.05,115.1047775,2867.35,148.2,5124.55,691.1,27.86,739.24,76.365,1.684,1.23195,53.3,21.9185,327.242,327.242,345.789,198.25,164.8,0.00019806,124.55,146,116.45,10.646,10.904285,24.6635,0.23295,68.525,0.00000674,8.355,1.5E-07,6.175,146.25,134.4,0.52680456,936.7453688,3.39984E-05,110.25,409644.99,194.6475,1480.025237,126136.3275,12252.06,89079.2475,4089.69,9.2514,3362.9784,654.988275,0.088584,0.016240748,3.21,96.86857275,30.502956,30.502956,2844.435249,13.6875,12.06,4.5682E-09,4.4475,16.5,3.5475,15.046344,0.906037294,0.13999275,0.003090248,2009.341875,1.0584E-12,24.950475,3.75E-15,0.331875,24.1875,12.24,10.58,"J. Liao, Y. Fan, W. Zhenhe, J. and Sha, Microstructural evolution and mechanical behaviour of Nb–10Hf–15W alloy doped with Si, Mater. Sci. Technol. 37(14) (2021) 1174-1186."
alloy5,74,1,0,0,0,10,0,0,0,15,0,0,5.04,1.687,29.828,-4.8796,6.5156,-23.48730657,2855.87,648.02,10.484893,1.4318,329.1025,22.1644,4.1614,3.813367196,0.376249117,2.115151,14.01266,0.002838,225.48,3674.3,48.78,114.4565638,2856.72,147.62,5106.11,688.13,28.098,736.41,76.84,1.687,1.23617,53.62,21.6265,329.3689,329.3689,347.9159,197.38,164.27,0.000195653,124.37,145.69,116.31,10.5836,10.916415,24.61539,0.23742,69.478,0.000006693,8.28801,1.01485E-05,6.18,146.17,134.23,0.572162407,937.0082853,3.40086E-05,110.1496,431166.91,206.2116,1550.401779,139817.8816,12335.4756,126709.0179,5028.8931,14.354596,4191.1779,686.5734,0.088971,0.018248961,13.1556,101.9917128,491.7831138,491.7831138,3226.820178,89.0556,40.7171,4.95443E-09,7.4931,25.3939,5.6139,15.69091104,0.919068553,0.375245358,0.005354884,2070.998116,1.22445E-12,25.61649025,9.89703E-09,0.3326,24.8611,15.2371,8.76,"J. Liao, Y. Fan, W. Zhenhe, J. and Sha, Microstructural evolution and mechanical behaviour of Nb–10Hf–15W alloy doped with Si, Mater. Sci. Technol. 37(14) (2021) 1174-1186."
alloy6,72,3,0,0,0,10,0,0,0,15,0,0,5.02,1.693,29.948,-8.9844,7.1213,-29.17050819,2834.61,682.02,10.343151,1.4263,333.3635,37.2679,4.9945,2.246795356,0.28547971,2.063053,13.99298,0.002834,225.44,3648.7,48.24,113.1601364,2835.46,146.46,5069.23,682.19,28.574,730.75,77.79,1.693,1.24461,54.26,21.0425,333.6227,333.6227,352.1697,195.64,163.21,0.000190838,124.01,145.07,116.03,10.4588,10.940675,24.51917,0.24636,71.384,0.000006599,8.15403,3.01455E-05,6.19,146.01,133.89,0.658806799,937.5335374,3.40288E-05,109.9464,473227.71,228.9024,1688.633779,166503.0084,12500.2884,199928.3571,6854.3739,24.221124,5799.5235,748.3899,0.089691,0.022158538,32.4324,111.7264088,1387.201208,1387.201208,3964.447815,235.2504,96.3459,5.69213E-09,13.3899,42.6051,9.6291,16.95668256,0.94424825,0.831863141,0.00976427,2188.861344,1.5433E-12,26.92159479,2.90913E-08,0.3339,26.1699,21.0579,8.01,"J. Liao, Y. Fan, W. Zhenhe, J. and Sha, Microstructural evolution and mechanical behaviour of Nb–10Hf–15W alloy doped with Si, Mater. Sci. Technol. 37(14) (2021) 1174-1186."
alloy7,70,5,0,0,0,10,0,0,0,15,0,0,5,1.699,30.056,-12.91,7.6014,-34.29539869,2813.35,712.36,10.202036,1.4208,337.6245,47.4365,5.6911,1.656498737,0.234693549,2.010955,13.9733,0.00283,225.4,3623.1,47.7,111.863709,2814.2,145.3,5032.35,676.25,29.05,725.09,78.74,1.699,1.25305,54.9,20.4585,337.8765,337.8765,356.4235,193.9,162.15,0.000186024,123.65,144.45,115.75,10.334,10.964935,24.42295,0.2553,73.29,0.000006505,8.02005,5.01425E-05,6.2,145.85,133.55,0.740022788,938.0580149,3.40491E-05,109.74,513977.79,251.01,1823.504331,192284.16,12662.41,270427.4275,8609.2875,33.6345,7343.7979,808.4014,0.090339,0.025925648,50.89,120.7789928,2246.429673,2246.429673,4665.885823,375.39,149.7275,6.38346E-09,19.0275,59.0475,13.4875,18.191304,0.968250851,1.269964348,0.01401381,2299.4589,1.84448E-12,28.19079805,4.74858E-08,0.335,27.4275,26.6475,7.72,"J. Liao, Y. Fan, W. Zhenhe, J. and Sha, Microstructural evolution and mechanical behaviour of Nb–10Hf–15W alloy doped with Si, Mater. Sci. Technol. 37(14) (2021) 1174-1186."
alloy8,58,14,22,2,2,2,0,0,0,0,0,0,4.6,1.6242,12.116,-28.5072,9.6362,-51.35019755,2370.54,754.68,6.727493,1.3971,352.6852,79.0923,7.4992,0.801306251,0.171346774,1.970094,4.1789,0.00227,220.24,3518.2,32.76,73.49768737,2370.5894,101.54,4349.52,565.014,27.901,619.1356,72.45,1.6242,1.21982,57.52,25.758,352.894,352.894,394.7668,178.94,154.56,0.000184878,120.26,139.42,112.04,6.75234,10.924598,24.01726,0.39824,63.902,0.000007168,5.42014,0.000140184,6.045,144.94,130.9,0.856135533,208.0071884,2.52929E-05,218.1424,501686.76,154.2624,924.7221333,231913.4214,1130.2084,682900.9696,19343.6432,98.052049,18867.18322,1681.0357,0.01468036,0.060316468,136.5696,173.850436,6246.172348,6246.172348,7141.565994,953.3364,359.5664,7.71069E-09,43.9524,125.5236,30.4384,6.955707304,0.616691757,3.007355032,0.033822862,2113.032996,8.59418E-12,28.37928252,1.20348E-07,0.374225,18.0964,39.85,14.5,"L. Wang, L. Jia, R. Cui, L. Zheng, H. Zhang, Microstructure, Mechanical Properties and Oxidation Resistance of Nb-22Ti-14Si-2Hf-2Al-xCr Alloys, Chin. J. Aeronaut. 25(2) (2012) 292-296."
alloy9,54,14,22,2,6,2,0,0,0,0,0,0,4.64,1.6266,12.125,-28.9968,10.5288,-53.71568491,2347.74,749.63,6.665791,1.3899,351.1236,79.9053,7.8026,0.852469407,0.172941885,1.960254,4.2569,0.002338,220.24,3616.6,32.08,71.86127657,2347.7894,108.5,4266.6,551.494,27.669,605.7148,71.578,1.6266,1.21466,57.6,26.434,351.318,351.318,393.1908,177.66,153.56,0.000188106,119.7,138.42,111.52,6.69714,10.780226,23.96726,0.4056,65.51,0.000007072,5.46814,0.000140183,6.145,144.22,130.3,0.846849997,207.680696,2.51496E-05,218.1424,726550.44,154.1536,925.4691449,227088.4581,2340.97,737223.52,20621.39136,99.854689,20133.70948,1675.479316,0.01470244,0.060530504,136,187.308244,6376.68406,6376.68406,7404.060771,943.8644,364.6864,8.29727E-09,46.17,134.3636,32.8096,6.8281666,1.141068763,3.009081032,0.03316164,2142.2793,8.79002E-12,28.55744508,1.20349E-07,0.605225,29.0116,44.77,12.4,"L. Wang, L. Jia, R. Cui, L. Zheng, H. Zhang, Microstructure, Mechanical Properties and Oxidation Resistance of Nb-22Ti-14Si-2Hf-2Al-xCr Alloys, Chin. J. Aeronaut. 25(2) (2012) 292-296."
alloy10,50,14,22,2,10,2,0,0,0,0,0,0,4.68,1.629,12.13,-29.3968,11.1547,-55.33080822,2324.94,743.43,6.602414,1.3827,349.562,80.6798,8.067,0.882205145,0.171409063,1.950414,4.3349,0.002406,220.24,3715,31.4,70.22486577,2324.9894,115.46,4183.68,537.974,27.437,592.294,70.706,1.629,1.2095,57.68,27.11,349.742,349.742,391.6148,176.38,152.56,0.000191334,119.14,137.42,111,6.64194,10.635854,23.91726,0.41296,67.118,0.000006976,5.51614,0.000140183,6.245,143.5,129.7,0.83737081,207.3420356,2.4997E-05,218.1424,932049,153.12,920.8604759,221223.8147,3454.8484,777794.6176,21533.55872,101.549681,21040,1668.402164,0.014713,0.06069129,135.4176,199.8521,6502.22822,6502.22822,7661.587997,931.1156,367.8064,8.86301E-09,47.7604,141.2036,34.64,6.694531816,1.62375922,3.005807032,0.032392078,2166.354276,8.96742E-12,28.73099964,1.20349E-07,0.816225,38.89,48.97,10.9,"L. Wang, L. Jia, R. Cui, L. Zheng, H. Zhang, Microstructure, Mechanical Properties and Oxidation Resistance of Nb-22Ti-14Si-2Hf-2Al-xCr Alloys, Chin. J. Aeronaut. 25(2) (2012) 292-296."
